;en;es;ja
TEXT_DISCLAIMER;Disclaimer\nPlaying with fireworks inside a videogame can give hours of fun,\nbut in real life is dangerous\nLife insurance exists only on fiction;Descargo de responsabilidad\nJugar con explosivos dentro de un videojuego puede dar horas de diversión\npero en la vida real es peligroso\nLos seguros de vida solamente existen en la ficción;免責事項\nビデオゲームの中で花火で遊ぶと何時間も楽しめます。\nしかし現実では危険である\n生命保険はフィクションの上にのみ存在する
TEXT_WIP;This game is under development\nMore content will be added in following releases;Este juego está en desarrollo\nMás contenido se agregará en los siguientes lanzamientos;このゲームは現在開発中です\n今後のリリースではさらにコンテンツが追加される予定です
TEXT_CONTINUE;Press Enter or B to continue;Presiona Intro o B para continuar;Enter または B を押して続行します
TEXT_START;Press Enter or B to start;Presiona Intro o B para iniciar;EnterまたはBを押して開始します
TEXT_EXIT;Press Escape or A to exit;Presiona Escape o A para salir;終了するにはEscまたはAを押してください
GAME_NAME;Midori in the Magic School;Midori in the Magic School;改造魔法学校のミドリ
BUTTON_START;Start;Iniciar;始める
BUTTON_DEBUG;Debug;Depurar;デバッグ
MENU_DEBUG;Debug Menu;Menú de Depuración;デバッグメニュー
BUTTON_EXIT;Exit;Salir;このゲームを終了する
START_NOOB;Coward;Cobarde;腰抜け
START_THISFIRST;Try this First;Prueba Esto Primero;まずはこれを試してください
START_CHALLENGE;True Challenge;Reto Verdadero;真の挑戦
START_MANIAC;Maniac;Maniático;一事狂
BUTTON_RETURN;Return;Atrás;戻る
BUTTON_GAMEPADTEST;Gamepad Test;Prueba de mando;ゲームパッドテスト
BUTTON_SCENESELECT;Scene Selector;Selector de escena;シーンセレクター
BUTTON_SOUNDTEST;Sound Test;Prueba de sonido;サウンドテスト
BUTTON_GAMEPADTEST_DONE;Press Escape or A + B to return;Presione Escape o A + B para regresar;戻るにはEscまたはA + Bを押してください
BUTTON_SCENE_DISCLAIMER;Disclaimer;Descargo de responsabilidad;免責事項
BUTTON_TESTROOMS;Shrine of the doomed souls;Santuario de las almas condenadas;呪われた魂の聖域
BUTTON_CERES;Ceres;Ceres;ケレス
BUTTON_SCORESCREEN;Result Screen;Pantalla de resultados;結果を表示
BUTTON_CREDITS;Credits;Creditos;クレジット画面
BUTTON_WIP;Work in Progress;Aún en desarrollo;まだ開発中
BUTTON_CUTSCENES;Cutscenes;Escenas;カットシーン
BUTTON_SPAWNTEST;Spawn Test;Prueba de generación;スポーンテスト
BUTTOM_TESTBOSS;Test Boss (Lily);Jefe de prueba (Lily);テストボス（リリー）
BUTTON_DIALOGTEST;Dialog Test;Prueba de diálogos;ダイアログテスト
BUTTON_DANMAKUTEST;Bullet hell test (Natasha);Prueba del infierno de balas (Natasha);弾幕テスト（ナターシャ）
BUTTON_PLACEHOLDER;Unused; Sin utilizar;未使用
BUTTON_MUSICTEST;Music;Música;音楽
BUTTON_SFXTEST;Sound Effects;Efectos de Sonido;音響効果
MENU_SFXTEST;Sound Effects Test;Prueba de efectos de sonido;音響効果テスト
MENU_MUSICTEST;Music Test;Prueba de música;音楽テスト
LABEL_STOPPLAYBACK;Press X to stop playback;Presione X para detener la reproducción;再生を停止するにはXを押してください
SONG0_LABEL;Title Screen;Pantalla de título;タイトル画面
SONG0_INFO;RELOADED\nRELOADED THEME\nMidori is now RELOADED;RELOADED\nRELOADED THEME\nMidori ahora esta RELOADED;RELOADED\nRELOADED THEME\n緑は今 RELOADED
SONG1_LABEL;Disclaimer;Descargo de responsabilidad;免責事項
SONG1_INFO;Vince Kaichan\nJellies in the Sea\nA relaxing sea music to prepare you for this explosive Action RPG;Vince Kaichan\nJellies in the Sea\nUna relajante música marina que te preparará\npara este explosivo Action RPG;ヴィンス・カイチャン\nJellies in the Sea\n爆発的なアクションRPGに備えてリラックスできる海の音楽
SONG2_LABEL;Shrine of the doomed souls;Santuario de las almas condenadas;呪われた魂の聖域
SONG2_INFO;Fearofdark\nGet A Brain Morans\nMeme Music for a meme themed stage.\nYou can enter here using Test Milk and\nget something interesting;Fearofdark\nGet A Brain Morans\nMúsica de Meme para un escenario de memes.\nPuedes ingresar con la Leche de Pruebas y\nsorprenderte;Fearofdark\nGet A Brain Morans\nミームをテーマにしたステージのミームミュージック\nTest Milkを使用してここに参加して、\n何か面白いものを手に入れましょう
SONG3_LABEL;Friendly challenge;Reto amistoso;フレンドリーなチャレンジ
SONG3_INFO;MrGamer\nOskars Skarmslackare\nPianola and Mechanical Drummer makes a great duo\nCenturies pass in the blink of an eye\nDo you feel old with this song? I too;MrGamer\nOskars Skarmslackare\nLa Pianola y el Baterista Mecánico hacen un gran\ndúo. Los siglos pasan en un abrir y cerrar de ojos.\n¿Te sientes viejo con esta canción?  Yo también;MrGamer\nOskars Skarmslackare\nピアノラとメカニカルドラマーは素晴らしいデュオです\n瞬く間に何世紀も経つ\nこの曲を聞くと年をとったように感じますか？ 私も
SONG4_LABEL;school nursing;enfermería escolar;学校看護
SONG4_INFO;JosSs\nExtra Life\nDo you want an Extra Life?\nYou need them;JosSs\nExtra Life\nOcupas una vida extra?\nLas necesitarás;JosSs\nExtra Life\nエクストラライフが欲しいですか?\n必要になるでしょう
SONG5_LABEL;Overworld (Ceres);Mundo superior (Ceres);オーバーワールド（ケレス）
SONG5_INFO;Ceekayed\nLayers\nGame graphics are made with a lot of texture layers\nmerged inside a single canvas;Ceekayed\nLayers\nLos gráficos del juego están hechos con muchas\ncapas de texturas\nfusionados dentro de un solo lienzo;Ceekayed\nLayers\nゲームのグラフィックは多くのテクスチャレイヤーで作られている\n一つのキャンバスに統合
SONG6_LABEL;Boss fight (Ceres);Pelea de jefes (Ceres);ボス戦（ケレス）
SONG6_INFO;ko0x\ncaramel condition\nPamela stole your candy using her Kung Fu Powers\nYou have a better weapon: Fireballs;ko0x\ncaramel condition\nPamela te robó tu dulce usando sus poderes de\nKung Fu. Tienes una mejor arma: llamaradas;ko0x\ncaramel condition\nパメラはカンフーパワーを使ってあなたのキャンディーを盗みました\nもっといい武器があるよ：火の玉
SONG7_LABEL;Result Screen;Pantalla de resultados;結果画面
SONG7_INFO;JosSs\nXs EdzesSs\nMost players can be confused by\nthe ways to earn experience in this game;JosSs\nXs EdzesSs\nLa mayoría de los jugadores pueden sentirse\nconfundidos por las formas de ganar\nexperiencia en este juego.;JosSs\nXs EdzesSs\nほとんどのプレイヤーは、このゲ\nームで経験値を稼ぐ方法に戸惑うかもしれません。
SONG8_LABEL;Overworld (Earth);Mundo superior (Tierra);オーバーワールド（地球）
SONG8_INFO;Vince Kaichan\nShakeshack Galaxy\nA song composed at Earth made to spread across the Galaxy\nYour father can give you an asteroid to achieve that;Vince Kaichan\nShakeshack Galaxy\nUna canción compuesta en la Tierra hecha para\ndifundirse por toda la Galaxia\nTu padre puede darte un asteroide para lograrlo.;ヴィンス・カイチャン\nShakeshack Galaxy\n地球で作曲され、銀河に広がる歌\nあなたの父親はそれを達成するために小惑星を与えることができます
